mun_code,year,prec1,prec2,prec3,prec4,prec5,prec6,prec7,prec8,prec9,prec10,prec11,prec12
1049,2004,95.15,129.55,47.81,163.93,141.13,77.1,98.43,119.38,89.78,159.18,116.16,72.99
1049,2005,12.86,18.2,56.2,169.43,97.42,113.59,84.93,122.09,234.18,126.83,61.2,52.94
1049,2006,91.77,59.65,66.17,73.72,79.75,74.32,81.91,83.3,313.8,66.25,64.53,51.02
1049,2007,38.99,35.64,83.74,74.47,192.63,182.47,48.05,162.8,69.21,86.67,65.18,33.15
1049,2008,96.13,28.75,55.64,124.84,307.72,150.41,146.2,92.87,142.45,57.72,223.88,271.33
1049,2009,98.34,54.64,110.46,335.02,107.89,109.88,96.94,173.67,143.91,86.74,91.39,123.25
1049,2010,88.66,107.64,146.09,75.95,214.63,338.91,137.72,214.12,98.16,159.21,226.7,95.32
1049,2011,38.04,69.55,224.28,41.18,83.71,251.15,217.3,90.4,127.23,50.94,260.54,31.57
1049,2012,68.1,33.78,67.96,164.17,190.94,117.06,152.18,143.06,149.17,76.37,192.68,41.2
1049,2013,46,64.69,168.99,185.49,295.56,137.71,130.56,140.78,91.95,138.93,127.59,92.68
1049,2014,115.84,120.84,87.52,91.61,127.35,184.2,301.28,142.12,141.67,106.21,261.48,95.8
1049,2015,56.78,156.4,156.05,132.28,167.26,165.34,93.61,182.06,138.84,148.71,13.3,16.2
1049,2016,37.74,136.67,115.74,130.09,183.09,158.39,134.92,147.55,116.18,125.73,321.32,56.62
1049,2017,19.74,79.64,136.99,96.33,120.03,172.52,100.69,85.54,79.87,8.32,74.69,91.69
1049,2018,215.23,107.96,154.75,197.09,254.15,186.06,202.12,82.17,122.75,243.84,269.58,22.54
1049,2019,10.43,38.83,21.7,158.79,118.91,145.16,231.28,98.6,122.68,179.94,311.2,119.63
1049,2020,21.69,13.02,110.52,110.2,180.33,201.66,141,152.47,124.11,131.94,24.59,81.89
1049,2021,97.4,58.94,32.84,121.09,144.56,144.97,147.49,92.44,74.91,66.45,168.99,36.54
1049,2022,2.97,12.85,53.7,108.13,174.2,123.49,104.85,146.45,77.98,123.42,58.14,80.47
1053,1991,68.58,28.94,285.57,96.35,159.21,64.57,67.07,82.33,164.39,150.14,40.7,27.18
1053,1992,59.73,29.97,41.4,129.04,155.64,365.77,135.92,106.3,168.2,242.2,47.67,54.89
1053,1993,15.87,14.52,160,265.45,139.28,145.36,96.08,103,257.9,184.25,100.81,36.82
1053,1994,137.39,131.3,22.03,140.58,199.05,139.92,90.11,85.75,358.49,117.18,224.16,32.79
1053,1995,50.09,62.7,20.76,233.6,144.68,204.41,135.31,127.29,155.19,31.13,85.79,99.36
1053,1996,158.94,116.05,85.28,100.09,110.95,105.78,109.74,188.23,114.16,256.59,182.92,164.55
1053,1997,104.29,12.21,6.33,29.93,66.44,233.26,149.35,152.99,46.97,49.88,108.94,103.09
1053,1998,44.6,36.4,25.89,146.82,196.36,123.78,94.01,99.24,71.25,125.8,23.2,28.51
1053,1999,102.18,23.61,73.18,95.24,278.53,169.23,108.12,138.83,158.56,149.73,106.98,61.73
1053,2000,8.79,12.06,65.92,223.08,111.09,134.13,109.55,132.03,159.7,364.84,181.82,70.16
1053,2001,73.98,62.91,144.52,51.29,213.82,69.28,171.58,151.07,77.27,114.17,62.89,21.22
1053,2002,22.65,153.95,62.32,97.86,294.05,247.65,161.6,258.54,119.23,94.99,228.94,93.67
1053,2003,30.97,33.79,17.94,98.72,62.27,108.88,91.26,69.23,62.97,82.72,170.93,161.44
1053,2004,96.1,125.95,46.75,158.83,138.77,78.43,102.18,120.78,84.23,155.33,114.94,71.35
1053,2005,14.32,16.36,49.63,161.85,88.72,115.64,89.41,122.87,221.57,118.03,53.16,47.39
1053,2006,86.49,58.76,65.99,77.27,82.9,79.44,83.5,85.9,303.72,63.19,58.62,51.67
1053,2007,41.48,34.94,86.18,69.26,190.79,189.66,53.87,163.23,68.74,81.88,61.39,33.31
1053,2008,90.86,26.14,52.88,118.65,287.96,151.5,156.75,100.59,147.94,53.08,226.81,264.96
1053,2009,96.91,53.6,108.05,327.03,104.9,110.81,103.67,168.35,136.63,81.26,82.87,116.81
1053,2010,83.11,98.34,138.13,71.02,201.85,325.66,130.76,203.26,95.66,148.4,213.67,90.64
1053,2011,32.97,62.88,213.11,42.71,84.67,237.21,210.52,94.15,121.78,47.23,257.71,36.06
1053,2012,69.2,30.63,63.91,159.27,197.02,115.95,157.67,158.56,133.72,68.63,187.89,41.81
