"iso","model","tas"
"IT-PI","EC-Earth3-Veg",17.8390926221578
"IT-PN","EC-Earth3-Veg",15.3997029944688
"IT-PO","EC-Earth3-Veg",16.1044785913225
"IT-PR","EC-Earth3-Veg",15.5298715150863
"IT-PT","EC-Earth3-Veg",15.2845397442921
"IT-PU","EC-Earth3-Veg",16.5762808832525
"IT-PV","EC-Earth3-Veg",18.006625855958
"IT-PZ","EC-Earth3-Veg",15.8695367549105
"IT-RA","EC-Earth3-Veg",18.0774217934716
"IT-RC","EC-Earth3-Veg",17.8723472009038
"IT-RE","EC-Earth3-Veg",16.2081715864324
"IT-RG","EC-Earth3-Veg",19.7370120770176
"IT-RI","EC-Earth3-Veg",14.1855310427084
"IT-RM","EC-Earth3-Veg",18.242875457173
"IT-RN","EC-Earth3-Veg",16.9579530998807
"IT-RO","EC-Earth3-Veg",18.8551155965509
"IT-SA","EC-Earth3-Veg",17.3164077790719
"IT-SI","EC-Earth3-Veg",16.6733194682198
"IT-SO","EC-Earth3-Veg",6.50786286099995
"IT-SP","EC-Earth3-Veg",16.0476315347721
"IT-SR","EC-Earth3-Veg",20.3726402627446
"IT-SS","EC-Earth3-Veg",18.5869811708741
"IT-SV","EC-Earth3-Veg",15.5124319934945
"IT-TA","EC-Earth3-Veg",19.41183951034
"IT-TE","EC-Earth3-Veg",15.7051833942543
"IT-TN","EC-Earth3-Veg",9.11302185120091
"IT-TO","EC-Earth3-Veg",12.4947595686129
"IT-TP","EC-Earth3-Veg",20.4736880323671
"IT-TR","EC-Earth3-Veg",16.8314973835438
"IT-TS","EC-Earth3-Veg",17.1956718327592
"IT-TV","EC-Earth3-Veg",17.8009512075985
"IT-UD","EC-Earth3-Veg",14.3270950066588
"IT-VA","EC-Earth3-Veg",16.8596206949359
"IT-VB","EC-Earth3-Veg",9.78316080552197
"IT-VC","EC-Earth3-Veg",14.8991539159615
"IT-VE","EC-Earth3-Veg",18.4639677456567
"IT-VI","EC-Earth3-Veg",15.5397155860839
"IT-VR","EC-Earth3-Veg",17.5868919440882
"IT-VS","EC-Earth3-Veg",19.4538039841965
"IT-VT","EC-Earth3-Veg",17.944477954496
"IT-VV","EC-Earth3-Veg",17.0167757063859
