"iso","model","tas"
"IT-CZ","CNRM-ESM2-1",15.0050035266565
"IT-EN","CNRM-ESM2-1",15.9998424827869
"IT-FC","CNRM-ESM2-1",12.2029269500489
"IT-FE","CNRM-ESM2-1",14.0055438248275
"IT-FG","CNRM-ESM2-1",16.2421031673706
"IT-FI","CNRM-ESM2-1",12.6701874299731
"IT-FM","CNRM-ESM2-1",13.5989916797927
"IT-FR","CNRM-ESM2-1",13.3184832898787
"IT-GE","CNRM-ESM2-1",11.3224139619177
"IT-GO","CNRM-ESM2-1",13.9733793184178
"IT-GR","CNRM-ESM2-1",14.7157048898027
"IT-IM","CNRM-ESM2-1",11.7476423810456
"IT-IS","CNRM-ESM2-1",11.3590197150892
"IT-KR","CNRM-ESM2-1",16.8937697990183
"IT-LC","CNRM-ESM2-1",9.77670128084726
"IT-LE","CNRM-ESM2-1",17.4076056784232
"IT-LI","CNRM-ESM2-1",15.7150935826695
"IT-LO","CNRM-ESM2-1",13.574280170718
"IT-LT","CNRM-ESM2-1",15.668860268317
"IT-LU","CNRM-ESM2-1",11.8770724671549
"IT-MB","CNRM-ESM2-1",13.3446697318195
"IT-MC","CNRM-ESM2-1",12.4432328470595
"IT-ME","CNRM-ESM2-1",15.0606875188327
"IT-MI","CNRM-ESM2-1",13.7186898435056
"IT-MN","CNRM-ESM2-1",13.9226353013217
"IT-MO","CNRM-ESM2-1",11.9879602886405
"IT-MS","CNRM-ESM2-1",11.6086956200722
"IT-MT","CNRM-ESM2-1",16.2024430686668
"IT-NA","CNRM-ESM2-1",17.0240564341085
"IT-NO","CNRM-ESM2-1",12.7609485103636
"IT-NU","CNRM-ESM2-1",14.7660048646359
"IT-OG","CNRM-ESM2-1",14.5887256521592
"IT-OR","CNRM-ESM2-1",16.1392988867881
"IT-OT","CNRM-ESM2-1",15.795461570894
"IT-PA","CNRM-ESM2-1",15.9781131099943
"IT-PC","CNRM-ESM2-1",11.703321491079
"IT-PD","CNRM-ESM2-1",13.9533437167691
"IT-PE","CNRM-ESM2-1",13.101338377115
"IT-PG","CNRM-ESM2-1",12.3946695845424
"IT-PI","CNRM-ESM2-1",14.4505575715309
"IT-PN","CNRM-ESM2-1",11.0281002299409
"IT-PO","CNRM-ESM2-1",12.528688864168
"IT-PR","CNRM-ESM2-1",11.2796819550958
"IT-PT","CNRM-ESM2-1",11.8743258722954
"IT-PU","CNRM-ESM2-1",13.0283736166099
"IT-PV","CNRM-ESM2-1",13.1586086045965
"IT-PZ","CNRM-ESM2-1",13.1816402735498
"IT-RA","CNRM-ESM2-1",13.5586339896473
"IT-RC","CNRM-ESM2-1",15.5333224397625
"IT-RE","CNRM-ESM2-1",11.7571084853449
"IT-RG","CNRM-ESM2-1",17.2419423163463
"IT-RI","CNRM-ESM2-1",11.0308188808938
"IT-RM","CNRM-ESM2-1",14.923717196637
"IT-RN","CNRM-ESM2-1",13.1397045330763
"IT-RO","CNRM-ESM2-1",14.2699812593826
"IT-SA","CNRM-ESM2-1",14.6737666804031
"IT-SI","CNRM-ESM2-1",13.2211000249682
